Username	Fullname	Followed by you	Is verified	Profile URL	Avatar URL
khan.the.analyst	MAZHER KHAN | Data Science & Analytics - 6 years	TRUE	TRUE	https://www.instagram.com/khan.the.analyst	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/434687875_3636899916566728_5251808719499267450_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=Q6ymGZYDqXEQ7kNvgFwn6W_&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYBzHRiBzQVoogFxP2GyYp_i-7TX0uqXqJfP-EQSLz4tOA&oe=6657EF0B&_nc_sid=0055be
priyal.py	Priyal | DS & ML	TRUE	FALSE	https://www.instagram.com/priyal.py	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/419578942_396702112751998_6322691886802712006_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=A7Sw0sSnxiUQ7kNvgF93bmL&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYCZ9nuq9vqHC_tYjuvM_dMh7NKR4fOuXHdO7jE39ThlCg&oe=6657E672&_nc_sid=0055be
jagan_batna	Jagan	TRUE	FALSE	https://www.instagram.com/jagan_batna	https://instagram.fixc2-1.fna.fbcdn.net/v/t51.2885-19/433897806_429099626444515_2155385955334582054_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=G8QzZ2-Il18Q7kNvgFcYUEr&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDzDhqLObo3vw5TkLhrNLlSbSSV57uUVAdLhXN3lwWRPQ&oe=665806C9&_nc_sid=0055be
sushma_kola	SushmA	TRUE	FALSE	https://www.instagram.com/sushma_kola	https://instagram.fixc2-1.fna.fbcdn.net/v/t51.2885-19/59726272_671988896575387_6743259101813276672_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=YlsCkJZws6UQ7kNvgHMDjfj&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYBRPC_hh8Dv4HxaMjJt5eaqlRSHIjOuRcY3rcialZhQLg&oe=6657D74B&_nc_sid=0055be
diljitdosanjh	DILJIT DOSANJH	TRUE	TRUE	https://www.instagram.com/diljitdosanjh	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/374721133_1078683929991629_1533254072508224520_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=nx4zFPPRklkQ7kNvgGCHDzp&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDZeg3WobwsWL4I_2ju48DsKrBsPuHdoNqyv3J25jTywQ&oe=6657EA19&_nc_sid=0055be
google	Google	TRUE	TRUE	https://www.instagram.com/google	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/425391724_2454717941393726_7200817596193793590_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=OEXwb872p1QQ7kNvgFmjyOo&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYBudfcDR5A2j3utkU2fHHaUN9zgvWYG5Go_c6rlg3wwKw&oe=6657FFDC&_nc_sid=0055be
the_studycoach	Tom joris Vorselen - the study coach ????/????	TRUE	TRUE	https://www.instagram.com/the_studycoach	https://instagram.fixc2-1.fna.fbcdn.net/v/t51.2885-19/347226480_123391077415097_2652581494330023815_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=AzSwe9lFZnEQ7kNvgHgPXVm&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYCzox33sYxncuC8DOev-kQjN7O3jdI83psU0MNzW22zRA&oe=6657F3B1&_nc_sid=0055be
professor.pullups	Adam Sandel | Professor Pull-Ups	TRUE	TRUE	https://www.instagram.com/professor.pullups	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/30084333_160792944608375_8372722694088556544_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=HzVn6SoB6ZkQ7kNvgFXSP8n&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYAiVAvTmWZwVgykamr1v8RPCaadPbXUwKrR16BC0eBw4g&oe=665807A0&_nc_sid=0055be
joe_drummer_boy	Joe Moody	TRUE	TRUE	https://www.instagram.com/joe_drummer_boy	https://instagram.fixc2-2.fna.fbcdn.net/v/t51.2885-19/321446337_141679571749881_4134968006531944381_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=wBfkZb6XnfwQ7kNvgGgNTno&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYAIq1_RNJDDU_UAaHiWhBPShPDKuFOIeFXXuZoxH6wwgQ&oe=6657F150&_nc_sid=0055be
photospots.incredible8.lpu	Photo Spots at LPU (Resident Raptors)	TRUE	FALSE	https://www.instagram.com/photospots.incredible8.lpu	https://instagram.fixc2-1.fna.fbcdn.net/v/t51.2885-19/434546269_8074469952580183_2257013319076816730_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fixc2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=eHfZ4FuvfoIQ7kNvgHv5wBY&edm=ANg5bX4BAAAA&ccb=7-5&oh=00_AYDtqrt52Ug6gaPwPi22nvvom9PUklbtoRzNt7ZD8yceBg&oe=6657EC22&_nc_sid=0055be
